Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput,Trust Decay Rate,Consensus Threshold
56,440.67893907267523,0.1111111111111111,239,2,0.99,0.5999999999999998
57,437.14399593880637,0.1111111111111111,239,2,0.8,0.44999999999999996
58,436.85482491081643,0.1111111111111111,239,2,0.9875250000000001,0.3
59,438.0379134165671,0.1111111111111111,239,2,0.8912413125,0.6
60,434.1277556468924,0.1111111111111111,239,2,0.8,0.39999999999999997
61,431.596043287695,0.1111111111111111,239,2,0.8710299873596795,0.3
62,427.0945493548106,0.1111111111111111,239,2,0.8912413125,0.44999999999999996
63,424.29826839923885,0.1111111111111111,239,2,0.8,0.6
64,423.0200234183978,0.1111111111111111,239,2,0.8379000000000001,0.7000000000000001
65,420.99465238626954,0.1111111111111111,239,2,0.8003285852666219,0.5999999999999998
66,418.417778983491,0.1111111111111111,239,2,0.8043452845312499,0.39999999999999997
67,416.0970581033289,0.1111111111111111,239,2,0.9405,0.44999999999999996
68,414.365925633839,0.1111111111111111,239,2,0.8400000000000001,0.39999999999999997
69,413.84729447718956,0.1111111111111111,239,2,0.8,0.8000000000000002
70,263.36009368015596,0.07692307692307693,239,2,0.8,0.9
71,209.4941540709396,0.07692307692307693,239,2,0.9381487500000001,0.6999999999999998
72,181.77878472958423,0.07692307692307693,239,2,0.8063611874999999,0.5499999999999997
73,79.08835184790169,0.07692307692307693,240,2,0.8,0.44999999999999996
74,14.749197714975544,0.07692307692307693,241,2,0.8820000000000001,0.7499999999999999
75,176.8651200452813,0.07692307692307693,241,2,0.9728043974452371,0.39999999999999974
76,166.43914683326844,0.07692307692307693,243,2,0.8400000000000001,0.35
77,172.17207896743378,0.07692307692307693,245,2,0.9122950330108442,0.3
78,164.18838175642856,0.07692307692307693,247,2,0.8400000000000001,0.44999999999999996
79,-78.28555359225638,0.04,250,3,0.8316314475328126,0.65
80,145.0293311535551,0.07692307692307693,255,2,0.8820000000000001,0.39999999999999997
81,28.41208727851673,0.04,256,3,0.99,0.3
82,-91.74009716936493,0.04,258,2,0.83580525,0.35
83,-140.1271795174344,0.04,258,2,0.8379000000000001,0.6
84,-125.74544827836615,0.04,259,2,0.8912413124999998,0.6499999999999998
85,-100.98682183062243,0.04,260,3,0.99,0.44999999999999996
